# delz, RspecovRlambda, pmem
0.00437055 0.364219 0.974187
0.00640419 0.188666 0.978117
0.0650094 0.203626 0.699623
0.0135133 0.192833 0.99512
0.00369589 0.41426 0.982848
0.00926059 0.309868 0.982459
0.00493805 0.849446 0.533228
0.00545932 0.571924 0.890952
0.00831817 0.894353 0.581856
0.00124352 0.925808 0.60475
-0.000567853 0.667696 0.942644
0.00075803 0.565315 0.150336
0.0118343 0.196728 0.991772
0.00749025 0.170452 0.953319
0.00795782 0.438102 0.852549
0.00802925 0.260742 0.984923
0.0110204 0.345873 0.978699
0.0128315 0.344474 0.985799
0 0 1
0.0094445 0.0782498 0.994782
0.00382228 0.0928204 0.856672
0.00179733 0.177459 0.98649
0.00311333 0.166801 0.991248
0.0085422 0.253972 0.892702
0.00278272 0.322976 0.982549
0.00876401 0.32501 0.983207
0.00553022 0.376591 0.940545
0.0123061 0.226477 0.985766
0.00482213 0.408689 0.962643
0.0113394 0.436344 0.972789
0.00731594 0.513347 0.951092
0.00677775 0.685261 0.626477
0.00704142 0.294831 0.985173
0.00177284 0.518358 0.933554
0.00434712 0.453661 0.96319
0.0105783 0.549263 0.958679
-0.000883386 1.00354 0.150823
-0.00239023 0.410959 0.983044
0.00432837 0.467298 0.976799
0.00825095 0.489445 0.822711
0.00124907 0.509724 0.959422
-0.00171031 0.252263 0.856485
0.00617718 0.250364 0.803017
0.000180893 0.33346 0.985933
-0.00598858 0.502086 0.239687
0.00339736 0.390008 0.822391
0.00142761 0.456712 0.953596
-0.00108431 0.264196 0.926622
-0.00283651 0.192477 0.972965
-0.00491399 0.128306 0.993641
-0.000389248 0.133425 0.977741
0 0 1
0.000449613 0.0404822 0.996136
-0.00604193 0.275715 0.970042
-0.00110685 0.143425 0.994979
0.0048335 0.160337 0.993852
0.0061359 0.188173 0.989566
0.0025328 0.327442 0.239141
0.00183199 1.06668 0.0195649
-0.00171353 0.838977 0.880829
-0.00143088 1.0199 0.0370976
-0.00520848 0.697896 0.525454
0.00175186 0.63277 0.876699
0.00405011 0.563662 0.645925
-0.000976071 0.477585 0.970222
-0.0370328 1.01768 0.0232501
-0.00265604 1.01106 0.122448
-0.00224121 0.973785 0.0572573
0.00218472 0.970869 0.384799
-0.000117458 0.95126 0.127536
0.00319407 0.477232 0.970522
0.00433967 0.407824 0.974739
0.00599514 0.82928 0.934754
-0.00520527 0.752171 0.835732
-0.00272036 0.32739 0.979767
0.00468174 0.549724 0.214624
-0.00327662 0.687975 0.95273
0.00510792 0.78101 0.920381
0.000951916 1.04325 0.0587091
-0.0052498 1.04881 0.0476693
0.00119677 0.650788 0.939728
0.00399898 0.683693 0.034607
0.00238086 0.788037 0.71527
0.00547826 0.940982 0.260063
0.00656695 0.701692 0.77654
0.0052698 0.975737 0.259165
0.00444909 1.012 0.0560869
0.00274586 1.05551 0.0253097
0.00226615 1.06773 0.0130855
0.00434216 0.979611 0.347344
-0.00297202 0.72337 0.9349
-0.00253513 0.799309 0.572756
-0.0055225 0.938058 0.251722
0.000345528 0.583254 0.902984
-0.00550427 0.711 0.73128
-0.00259621 0.860553 0.919102
-0.00137875 0.782317 0.765973
-0.00454825 0.873906 0.877056
-0.00152089 0.926632 0.749687
-0.00539345 0.90673 0.555067
0.00421937 0.780168 0.945092
-0.00526582 0.818065 0.903766
-0.00448221 1.05592 0.0178739
-0.00146497 0.378595 0.862993
0.0017586 0.35118 0.969736
0.00256576 0.474617 0.930718
0.00406901 0.591019 0.876463
0 0 1
-0.000399604 0.0852928 0.982023
-5.07012e-05 0.145292 0.994747
-0.00805326 0.267975 0.968884
-0.00647362 0.210865 0.988638
-0.000792146 0.239325 0.984544
0.00595774 0.185996 0.987173
0.00164267 0.15575 0.989826
0.00109506 0.118499 0.993753
0.00191619 0.230073 0.976987
-0.00213241 0.927682 0.594659
0.000919916 1.06334 0.0113
0.00213306 1.03304 0.218558
0.0030149 0.885002 0.900503
-0.00315333 0.984256 0.068898
-0.00361533 0.417224 0.923151
0.0055664 0.415974 0.846209
0.00170682 0.556664 0.971202
0.000256285 0.538181 0.736383
0.000973381 0.57367 0.887899
0.000675231 0.738673 0.942618
0.00386012 0.752074 0.91938
0.00127956 0.37296 0.972638
0.000677265 0.564195 0.954974
-0.0124919 0.650912 0.932927
0.00120229 0.496342 0.959198
-0.00215045 0.50455 0.756208
0.00314508 0.801673 0.909448
-0.000417173 0.735914 0.91852
0.00308304 0.596261 0.934652
-0.00193411 0.364737 0.989121
-0.000406697 0.465554 0.955277
0.00131724 0.569939 0.955309
-0.000744224 0.614059 0.929173
0.00454318 0.327579 0.981933
0.000567324 0.510894 0.961816
0.00056076 0.590523 0.941868
0.00261941 1.0629 0.0901126
0.0399978 1.09159 0.0205289
0.000707753 0.474963 0.957848
0.0491439 0.926632 0.440673
0.0487954 1.00517 0.325226
-0.000420988 0.904576 0.878564
-0.00543279 0.757343 0.936181
-0.000278421 0.491438 0.950801
0.0504368 1.03111 0.19972
0.00174481 0.944686 0.709808
0.00101365 0.987359 0.0479818
0.00432914 0.672286 0.45584
0.0017503 0.344527 0.979274
0.00603521 0.361545 0.965185
0.00231293 0.655653 0.917506
0.00253123 0.829897 0.889021
0.00181009 0.874697 0.739807
-0.0472131 1.01648 0.0151876
0.00420687 0.68192 0.894317
0.00387206 0.609215 0.826377
0 0 1
0.00611052 0.054046 0.992787
-0.00183213 0.0706618 0.991078
0.00343624 0.0824495 0.96588
0.000445373 0.221359 0.981876
0.00649495 0.491546 0.904283
0.000731915 0.607615 0.931115
-0.00280894 0.252795 0.982376
0.00532212 0.604286 0.957893
0.00343569 0.778469 0.834994
0.00273252 0.926431 0.366291
0.00230415 0.818633 0.898652
-0.0543413 0.807955 0.538811
0.0044108 0.84325 0.837232
0.00276615 0.219367 0.988174
0.00481203 0.442352 0.968045
0.00356565 0.824833 0.843295
0.00443581 0.677329 0.941698
0.00620424 0.782838 0.862628
0.00131355 0.760652 0.551181
0.00598269 0.778887 0.855823
0.000415698 0.658818 0.782368
-0.000125945 0.19047 0.989249
0.00787753 0.249783 0.984439
0.0031312 0.361707 0.973604
0.00526612 0.39927 0.972661
0.00424691 0.550844 0.507076
0.00374852 0.436876 0.967672
0.00540741 0.912546 0.505801
0.0039295 0.839052 0.849254
0.00252743 0.755611 0.82277
0.000561573 0.499205 0.966771
0.00508747 0.168537 0.994432
0.00610197 0.113336 0.984623
0.00318605 0.429575 0.948844
0.00648751 0.209296 0.974036
0.00850335 0.412036 0.972129
-0.000451595 0.513373 0.971329
0.00407032 0.44888 0.959789
0.0113733 0.955272 0.199814
-0.000589117 0.919894 0.452908
0.00254562 0.812767 0.25115
0.00284691 0.967433 0.536065
-0.00056731 0.877923 0.897684
0.00419521 0.914025 0.800071
0.00600517 0.692631 0.33907
0.000994042 0.753724 0.935859
0.00235672 0.766284 0.798399
-0.000568911 0.900913 0.872172
-0.00128649 0.861114 0.947354
0.0031215 0.96934 0.600094
0.00492615 1.02184 0.280672
-0.00416747 0.807459 0.771087
0.000755668 0.7567 0.916146
0.00461665 0.890545 0.887575
0.000195526 1.07028 0.0993087
0.0391698 0.995402 0.116348
0.00215644 0.188201 0.986942
0 0 1
0.00708204 0.443116 0.962821
0.0380388 0.594646 0.918497
0.00242839 0.519614 0.95962
0.0103451 0.350844 0.979021
0.00855926 0.363732 0.973842
0.0031058 0.304259 0.971187
-0.00266163 0.480224 0.960976
0.00109182 0.547847 0.814615
0.00112422 0.637055 0.850038
-0.0013672 0.583957 0.766258
0.00251154 0.807257 0.920283
0.0025949 0.357556 0.965669
0.00104401 0.991009 0.538515
-0.000722207 0.564832 0.948481
0.00240828 0.763489 0.925304
0.00878473 0.432883 0.972341
0.00269381 0.816305 0.823486
0.00633992 0.818931 0.911326
0.000651307 0.612656 0.928504
0.00267787 0.70023 0.927868
0.00252896 0.754514 0.938441
0.0014648 0.909182 0.87797
0.00453371 1.00305 0.463412
0.00571433 0.105314 0.994935
0.00381627 0.185499 0.94974
0.0043363 0.250875 0.876644
0.00120497 0.398859 0.930351
-3.44217e-05 0.347853 0.88906
0.00293391 0.092945 0.994367
0.00288508 0.783249 0.722708
0.00196911 1.05573 0.0183934
0.00126125 0.798489 0.925327
-0.000605747 0.681135 0.764028
0.00145812 0.595752 0.934614
0.00400046 0.39749 0.97539
0.00970153 0.283492 0.903339
-0.000840381 0.182889 0.992737
-0.0412391 0.12485 0.982881
-0.000475734 0.0569547 0.79931
-0.00335668 0.130671 0.890125
-3.05921e-05 0 1
0.00173097 0.127735 0.978233
-0.000706382 0.187398 0.970033
